time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%,night
4/12/2019 13:26,4.743083004,BTC,IOST,Kucoin,Okex,0.116884069,46017.3842,0.119526848,45970.36682,0.002642779,2.261025928,0
4/12/2019 13:26,3.95256917,BTC,IOST,Kucoin,Bittrex,0.116884069,46017.3842,0.12009981,45970.36682,0.003215741,2.75122234,0
4/12/2019 13:28,4.270873413,ETH,IOST,Binance,Okex,0.54896949,7039,0.557814083,7030.961,0.008844593,1.611126435,0
4/12/2019 13:28,3.303684879,ETH,IOST,Kucoin,Okex,0.910077018,11563.8757,0.919802421,11551.31182,0.009725403,1.068635149,0
4/12/2019 13:28,7.679524699,ETH,DASH,Coss,Binance,0.61539095,0.905,0.643384339,0.89319,0.027993389,4.548878907,0
4/12/2019 13:28,7.891292519,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.643436105,0.89319,0.028045155,4.55729076,0
4/12/2019 13:28,7.376579067,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.641528362,0.89319,0.026137412,4.24728569,0
4/12/2019 13:28,7.795702878,ETH,DASH,Coss,Okex,0.61539095,0.905,0.641983819,0.89319,0.026592869,4.321296747,0
4/12/2019 13:28,7.545788909,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645557692,0.89319,0.030166742,4.902045125,0
4/12/2019 13:29,38.19762123,BTC,THETA,Binance,Livecoin,0.0326002,1492,0.036488188,1490.408,0.003887988,11.92627167,0
4/12/2019 13:29,4.330708661,BTC,IOST,Binance,Okex,0.5,196078.4314,0.500656511,195881.3529,0.000656511,0.131302142,0
4/12/2019 13:29,3.574173713,BTC,STORJ,Binance,Coss,0.05143722,989,0.052019863,984.511,0.000582643,1.132726178,0
4/12/2019 13:29,3.149606299,BTC,IOST,Binance,Bittrex,0.5,196078.4314,0.50366092,195881.3529,0.00366092,0.732184016,0
4/12/2019 13:30,4.743083004,BTC,IOST,Kucoin,Okex,0.0663,26000,0.067357219,25973,0.001057219,1.594598437,0
4/12/2019 13:30,3.557312253,BTC,IOST,Kucoin,Bittrex,0.0663,26000,0.0673616,25973,0.0010616,1.601206538,0
4/12/2019 13:32,4.204050244,ETH,IOST,Binance,Okex,0.86609624,11087,0.881652546,11074.913,0.015556306,1.796140525,0
4/12/2019 13:32,3.303684879,ETH,IOST,Kucoin,Okex,0.910077018,11563.8757,0.919802421,11551.31182,0.009725403,1.068635149,0
4/12/2019 13:32,7.714819336,ETH,DASH,Coss,Binance,0.61539095,0.905,0.643884025,0.89319,0.028493075,4.630077081,0
4/12/2019 13:32,7.820997368,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.644167281,0.89319,0.028776331,4.676105703,0
4/12/2019 13:32,7.385402727,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.641572977,0.89319,0.026182027,4.254535527,0
4/12/2019 13:32,7.648641892,ETH,DASH,Coss,Okex,0.61539095,0.905,0.642834357,0.89319,0.027443407,4.459507794,0
4/12/2019 13:32,7.546138914,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645559884,0.89319,0.030168934,4.902401281,0
4/12/2019 13:33,3.921568628,BTC,IOST,Binance,Okex,0.5,196078.4314,0.507670277,195881.3529,0.007670277,1.534055403,0
4/12/2019 13:33,3.773584906,BTC,STORJ,Binance,Coss,0.06695562,1288,0.066989468,1283.212,3.38476E-05,0.050552363,0
4/12/2019 13:33,3.137254902,BTC,IOST,Binance,Bittrex,0.5,196078.4314,0.501854931,195881.3529,0.001854931,0.370986154,0
4/12/2019 13:34,4.330708661,BTC,IOST,Kucoin,Okex,0.102752363,40295.0443,0.106012427,40253.74926,0.003260064,3.172738626,0
4/12/2019 13:34,3.543307087,BTC,IOST,Kucoin,Bittrex,0.102752363,40295.0443,0.105077607,40253.74926,0.002325244,2.262959542,0
4/12/2019 13:36,3.70465325,ETH,IOST,Binance,Okex,0.684938,8795,0.697133655,8785.205,0.012195655,1.780548762,0
4/12/2019 13:36,2.795425667,ETH,IOST,Kucoin,Okex,0.910077018,11563.8757,0.919747443,11551.31182,0.009670425,1.062594157,0
4/12/2019 13:36,7.736878484,ETH,DASH,Coss,Binance,0.61539095,0.905,0.645757849,0.89319,0.030366899,4.934570233,0
4/12/2019 13:36,7.875851116,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.645319086,0.89319,0.029928136,4.863271999,0
4/12/2019 13:36,7.248636009,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.642099432,0.89319,0.026708482,4.340083603,0
4/12/2019 13:36,7.795702878,ETH,DASH,Coss,Okex,0.61539095,0.905,0.645509908,0.89319,0.030118958,4.894280299,0
4/12/2019 13:36,7.584351241,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.64657676,0.89319,0.03118581,5.067641927,0
