time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%
4/12/2019 21:28,3.846153846,BTC,IOST,Kucoin,Bittrex,0.082939232,31899.7046,0.084792424,31866.8049,0.001853192,2.234397167
4/12/2019 21:30,3.861003861,BTC,IOST,Binance,Bittrex,0.47509147,183433,0.479495173,183248.567,0.004403703,0.926916773
4/12/2019 21:31,3.461538462,BTC,IOST,Kucoin,Bittrex,0.082939232,31899.7046,0.0847981,31866.8049,0.001858868,2.24124073
4/12/2019 21:34,3.861003861,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.503032424,192114.3846,0.003032424,0.606484813
4/12/2019 21:34,3.861003861,BTC,IOST,Kucoin,Bittrex,0.053045893,20403.8807,0.054131902,20382.47682,0.001086009,2.047300953
4/12/2019 21:37,3.846153846,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.503927785,192114.3846,0.003927785,0.785557069
4/12/2019 21:37,0.740390674,BTC,IOTA,Bitfinex,Binance,0.149436171,2355.18,0.149527524,2349.96964,9.13525E-05,0.061131457
4/12/2019 21:38,4.247104247,BTC,IOST,Kucoin,Bittrex,0.087592427,33560.317,0.089452911,33525.75668,0.001860484,2.124023953
4/12/2019 21:41,3.0651341,BTC,IOST,Binance,Bittrex,0.2572752,98952,0.26019981,98852.048,0.00292461,1.136763162
4/12/2019 21:42,3.0651341,BTC,IOST,Kucoin,Bittrex,0.150086787,57504.516,0.152498279,57446.01148,0.002411492,1.606731999
4/12/2019 21:45,3.461538462,BTC,IOST,Binance,Bittrex,0.5,191570.8812,0.501983477,191378.3103,0.001983477,0.396695319
4/12/2019 21:45,0.677378702,BTC,IOTA,Bitfinex,Binance,0.143535753,2262.186805,0.14361678,2257.162431,8.10272E-05,0.056450864
4/12/2019 21:46,3.0651341,BTC,IOST,Kucoin,Bittrex,0.030026787,11504.516,0.030336227,11492.01148,0.00030944,1.030547681
4/12/2019 21:49,3.0651341,BTC,IOST,Binance,Bittrex,0.1905618,73293,0.193704289,73218.707,0.003142489,1.649065616
4/12/2019 21:50,3.0651341,BTC,IOST,Kucoin,Bittrex,0.150086787,57504.516,0.152498279,57446.01148,0.002411492,1.606731999
4/12/2019 21:52,3.448275862,BTC,IOST,Binance,Bittrex,0.4110548,158098,0.414924813,157938.902,0.003870013,0.941483461
4/12/2019 21:53,3.448275862,BTC,IOST,Kucoin,Bittrex,0.150086787,57504.516,0.152498274,57446.01148,0.002411487,1.606728555
4/12/2019 21:56,3.846153846,BTC,IOST,Binance,Bittrex,0.5,191570.8812,0.502000499,191378.3103,0.002000499,0.400099756
4/12/2019 21:56,1.008668243,BTC,IOTA,Bitfinex,Binance,0.163005742,2569.042428,0.16327732,2563.404343,0.000271578,0.166606556
4/12/2019 21:57,3.448275862,BTC,IOST,Kucoin,Bittrex,0.150073061,57499.2569,0.152484543,57440.75764,0.002411483,1.606872581
4/12/2019 22:00,3.461538462,BTC,IOST,Binance,Bittrex,0.063037,24245,0.064385322,24219.755,0.001348322,2.138937248
4/12/2019 22:00,0.866824271,BTC,IOTA,Bitfinex,Binance,0.163005742,2569.042428,0.163399476,2563.404343,0.000393734,0.241546263
4/12/2019 22:01,3.0651341,BTC,IOST,Kucoin,Bittrex,0.150073061,57499.2569,0.152483687,57440.75764,0.002410626,1.606301581
4/12/2019 22:04,3.461538462,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.503916994,192114.3846,0.003916994,0.783398693
4/12/2019 22:04,0.85106383,BTC,IOTA,Bitfinex,Binance,0.158006364,2490.250031,0.158179622,2484.769531,0.000173258,0.109652415
4/12/2019 22:04,3.0651341,BTC,IOST,Kucoin,Bittrex,0.150073061,57499.2569,0.152483687,57440.75764,0.002410626,1.606301581
4/12/2019 22:07,3.846153846,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.50389633,192114.3846,0.00389633,0.779265974
4/12/2019 22:07,0.866824271,BTC,IOTA,Bitfinex,Binance,0.158006364,2490.250031,0.158173259,2484.769531,0.000166894,0.105624963
4/12/2019 22:08,3.448275862,BTC,IOST,Kucoin,Bittrex,0.150073061,57499.2569,0.154277208,57440.75764,0.004204148,2.801400741
4/12/2019 22:11,4.230769231,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.512756249,192114.3846,0.012756249,2.551249694
4/12/2019 22:11,0.724980299,BTC,IOTA,Bitfinex,Binance,0.158006364,2490.250031,0.158142819,2484.769531,0.000136455,0.086360214
4/12/2019 22:12,3.831417625,BTC,IOST,Kucoin,Bittrex,0.150073061,57499.2569,0.154277208,57440.75764,0.004204148,2.801400741
4/12/2019 22:14,3.461538462,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.50865919,192114.3846,0.00865919,1.731837941
4/12/2019 22:14,0.740740741,BTC,IOTA,Bitfinex,Binance,0.184266384,2904.250031,0.18452823,2897.941531,0.000261845,0.142101519
4/12/2019 22:15,3.0651341,BTC,IOST,Kucoin,Bittrex,0.150073061,57499.2569,0.153196022,57440.75764,0.003122961,2.080960611
4/12/2019 22:17,3.461538462,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.502279136,192114.3846,0.002279136,0.455827204
